unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	3166.746888256346	3500.4167381776583	4627.4159090222	4215.699574165366	6428.103663103102	7295.1086847728475	13035.38749678626	16041.79541269938	20847.435494587553	23417.407963551632	26245.7799727392	25277.87010010599	28321.61329715188
maxI	3173.887182813172	3505.401480013245	4635.551320811327	4221.491310574593	6440.533875756179	7312.762405428182	13087.415593083972	16127.048152508121	21019.806987360906	23634.325968076104	26540.114329411434	25498.755503509004	28612.206532404973
avrgI	3170.3716794444567	3502.8075202921736	4631.4890365495485	4218.323277203203	6433.938507892758	7305.023737659462	13065.177931053291	16075.947658808422	20921.765870121613	23506.39333329293	26381.299840860418	25367.63703412756	28429.36341444009
minD	0.03472	0.03484	0.02772	0.03484	0.02148	0.01862	0.00934	0.00808	0.00608	0.00582	0.00516	0.00584	0.00516
maxD	0.03496	0.035	0.02792	0.03512	0.02168	0.01882	0.00946	0.0082	0.00618	0.00592	0.00526	0.00592	0.00528
avrgD	0.0348426	0.0349084	0.027806800000000003	0.0349526	0.021551199999999996	0.018694200000000005	0.009404000000000003	0.008133399999999999	0.0061416	0.0058778	0.005206199999999999	0.0058778	0.0052144
minE	110.09080886840822	121.99438095092775	128.37886810302734	176.32779693603518	165.76181030273435	163.2117462158203	146.68375396728516	155.75967407226562	152.94076538085938	164.41303253173828	162.67545318603516	189.3986083984375	188.0393310546875
maxE	110.8622932434082	122.59986877441408	129.3189811706543	177.73979187011716	167.39076232910156	164.95816040039062	148.4142608642578	158.30280303955078	155.3246154785156	167.11685943603513	166.59388732910156	192.56660156249998	191.658251953125
avrgE	110.46398334503174	122.27741069793701	128.7868824005127	176.92963119506837	166.39090873718263	163.87384643554688	147.43780952453614	156.90222885131837	154.19134162902833	165.79862434387206	164.81523651123047	190.85512182617188	189.7490869140625
