unit	8_no_PLL	16	24	48	72
minI	4252.431584500719	8174.579326923077	12050.038397174509	24179.17735016291	35867.9409684806
maxI	4308.228474467193	8287.772604946716	12495.221497004908	24322.227195457177	36430.46485053169
avrgI	4278.793963435965	8204.780851136731	12320.706818582534	24243.473281508766	36083.30749277867
minD	1.304	0.65	0.432	0.216	0.144
maxD	1.305	0.651	0.434	0.217	0.145
avrgD	1.30452	0.6502800000000001	0.433	0.21656000000000003	0.14464
minE	16648.269653320312	15940.429687500002	15652.999877929686	15726.058959960938	15588.912963867186
maxE	16866.714477539062	16186.019897460938	16259.307861328127	15818.252563476562	15737.960815429688
avrgE	16745.319957733154	16006.21862411499	16004.610900878906	15750.444602966309	15657.123355865479
