unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	3064.679883723885	3408.4363221043377	4569.571593712116	4123.152650859021	6312.387766855541	7162.9669706700215	12746.681601314222	15999.897871867264	21181.844075520832	23247.0703125	26157.754840272846	25073.458353678387	28194.73093206232
maxI	3068.826856656312	3412.8357382381664	4578.7800285933	4129.470203796663	6324.963691907052	7181.846489340572	12842.727919756357	16136.932373046875	21194.4580078125	23545.5322265625	26582.428903290718	25390.828450520832	28628.031412760418
avrgI	3067.0178956537607	3410.6380879600774	4575.746494334785	4126.263559993941	6317.889754614474	7170.8530628247	12821.485228457695	16112.213285842745	21186.945329632676	23422.11759412611	26442.046598954632	25292.801487553228	28560.726570360588
minD	0.441	0.442	0.347	0.442	0.272	0.235	0.118	0.1	0.075	0.074	0.066	0.074	0.066
maxD	0.442	0.443	0.348	0.443	0.273	0.236	0.118	0.101	0.076	0.075	0.066	0.075	0.066
avrgD	0.44190000000000007	0.44220000000000004	0.3473	0.4424	0.2725000000000001	0.2359	0.11799999999999997	0.10030000000000001	0.07519999999999999	0.07479999999999999	0.06600000000000002	0.0749	0.06600000000000002
minE	1351.7122268676758	1506.5288543701172	1586.9503021240232	2186.920166015625	2061.529541015625	2021.1181640624998	1804.9301147460935	1935.05859375	1906.3659667968748	2088.372802734375	2071.6941833496094	2403.14453125	2381.890869140625
maxE	1356.4214706420898	1511.1284255981445	1592.7581787109375	2194.189453125	2072.05810546875	2033.8989257812495	1818.5302734374998	1953.387451171875	1932.6965332031248	2119.097900390625	2105.328369140625	2437.51953125	2418.49609375
avrgE	1355.3153991699219	1508.1842422485352	1589.1562461853027	2190.5506896972656	2065.94970703125	2029.9255371093745	1815.522308349609	1939.2489624023438	1911.910400390625	2102.344551086426	2094.210090637207	2424.8614501953125	2412.8101806640625
