unit	8_no_PLL	16	24	48	72
minI	4328.117516762452	8294.991816976286	12224.645658572148	24146.31095167767	35453.11697168288
maxI	4375.928389158285	8439.612755408654	12685.26918618288	24496.404974310248	36121.368408203125
avrgI	4349.194466564018	8347.893798856972	12480.045926486042	24332.342982720795	35735.88107230928
minD	1.304	0.65	0.432	0.222	0.151
maxD	1.306	0.651	0.434	0.223	0.153
avrgD	1.30494	0.6505399999999999	0.4330799999999999	0.22218	0.15206
minE	16944.580078125	16180.389404296877	15884.353637695312	16143.53942871094	16177.368164062498
maxE	17131.759643554688	16457.24487304688	16478.164672851562	16327.331542968752	16471.343994140625
avrgE	17026.312294006348	16291.900634765625	16214.521579742432	16218.441066741943	16301.946258544922
