unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	2061.496827836104	2407.535472006168	3598.127162638337	2841.031128162767	4256.612209902338	4828.059323561322	8336.650187893385	12171.47842326278	15994.470953520111	19821.397203948785	22377.536682311646	21306.88598727044	24038.97934264832
maxI	2064.228575013902	2411.288334247138	3601.7248399725286	2844.717763754453	4260.545527239709	4830.36749809585	8341.381686702001	12181.3571737679	16012.725937990353	19852.074978100736	22411.90767288208	21339.727384064972	24069.77225041044
avrgI	2062.967645767722	2408.848707370397	3600.240295767278	2843.0519397329176	4258.647807742962	4829.214413663093	8338.904733059977	12175.735090146669	16001.974338802293	19833.072418617878	22391.706590241844	21319.916725965155	24051.997358453336
minD	0.42362	0.42374	0.26062	0.42378	0.26084	0.22604	0.11288	0.07532	0.05652	0.04524	0.03996	0.0453	0.03998
maxD	0.42414	0.42428	0.2611	0.42446	0.26132	0.22646	0.11338	0.07566	0.05676	0.0455	0.04022	0.0455	0.04018
avrgD	0.42384266666666665	0.4239573333333334	0.26087866666666665	0.4241113333333333	0.26106066666666666	0.22625533333333334	0.11317266666666666	0.075454	0.056616	0.045358	0.04006733333333334	0.04537466666666666	0.040062
minE	873.4186172485353	1020.2532386779786	938.1279373168945	1445.8683242797852	1332.9743499755857	1310.0915451049805	1129.8901977539062	1100.4417343139646	1085.482727050781	1076.961524963379	1074.2229537963865	1235.986669921875	1231.089697265625
maxE	875.5219078063965	1022.3380279541017	940.1122093200684	1447.7382431030273	1335.622055053711	1312.3953552246094	1134.606605529785	1105.7384490966797	1090.1358032226562	1083.1597595214841	1080.3059463500974	1241.4962158203125	1236.9777099609375
avrgE	874.3737277984619	1021.2490755716959	939.2258745829264	1446.9245834350586	1334.118495941162	1311.1625968933106	1132.4832565307618	1102.4495025634765	1087.1613311767578	1079.506143951416	1076.610903930664	1238.2515706380211	1233.3709228515625
