group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	-1.17	-1.165	-1.152	-1.155	-1.138	-1.126	-1.102	-1.076	-1.053
bubble_sort	-1.262	-1.262	-1.257	-1.259	-1.264	-1.254	-1.264	-1.233	-1.237
dijkstra	-1.121	-1.118	-1.115	-1.112	-1.101	-1.097	-1.091	-1.087	-1.057
kalman	-0.407	-0.407	-0.404	-0.403	-0.4	-0.569	-0.564	-0.719	-0.694
mat_mul	-1.132	-1.131	-1.12	-1.127	-1.102	-1.137	-1.112	-1.198	-1.207
pointer_chase	-0.8	-0.8	-0.799	-0.8	-0.8	-0.635	-0.634	-0.497	-0.497
recursion	-0.929	-0.927	-0.926	-0.926	-0.923	-0.925	-0.924	-0.922	-0.917
rsa_dec	-0.416	-0.416	-0.415	-0.413	-0.407	-0.407	-0.399	-0.402	-0.398
rsa_enc	-0.839	-0.837	-0.833	-0.831	-0.822	-0.821	-0.799	-0.8	-0.798
sine	-1.148	-1.147	-1.147	-1.146	-1.142	-1.065	-1.062	-0.982	-0.987
