group	16	26	30	60	90	120	150	170
FFT	0.0	-0.0	0.001	-0.0	0.069	0.068	0.093	0.094
bubble_sort	0.001	-0.001	-0.0	0.001	0.11	0.104	0.177	0.178
dijkstra	-0.0	0.0	-0.0	-0.001	0.008	0.008	0.038	0.037
kalman	-0.0	-0.0	-0.0	0.0	0.124	0.124	0.169	0.169
mat_mul	-0.0	0.0	-0.0	-0.002	0.068	0.069	0.028	0.027
pointer_chase	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.104	-0.104
recursion	-0.0	-0.0	-0.0	0.0	0.018	0.018	0.09	0.089
rsa_dec	0.0	0.0	0.0	0.0	-0.003	-0.003	0.002	0.003
rsa_enc	0.0	0.0	0.0	-0.001	-0.015	-0.016	0.071	0.07
sine	0.0	0.0	0.0	0.0	0.088	0.088	0.091	0.092
