unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	2819.3556586951554	3161.9928201981234	4336.598368155266	3822.216382006748	5849.040717705214	6631.587347552088	11798.903676236365	15144.4166846166	19833.810885887437	22246.751447591443	25057.85531852585	23998.05348093917	26998.04701199189
maxI	2822.3689891948775	3165.1980401198257	4339.468369566749	3826.0481397419	5853.096769553914	6636.924486512976	11809.00394395211	15157.283090912135	19856.097068135496	22280.58579498515	25108.81721353828	24028.1947891282	27037.61129828371
avrgI	2820.7354731105233	3163.461934888716	4338.067310273127	3824.3883569997433	5851.3059613117275	6634.15224084936	11804.572821220143	15149.977690940497	19842.158081014106	22261.29831983237	25076.486268231594	24015.013033538708	27015.25134589912
minD	0.20554	0.2056	0.15646	0.2056	0.12652	0.10966	0.05486	0.0452	0.03396	0.03268	0.02886	0.0327	0.02888
maxD	0.20588	0.20594	0.15686	0.20598	0.1269	0.11002	0.05506	0.04538	0.03416	0.03284	0.02904	0.0329	0.02908
avrgD	0.20571399999999998	0.20575599999999997	0.15665933333333334	0.20578200000000002	0.12672666666666668	0.109828	0.054956000000000005	0.045309333333333326	0.034038	0.032757999999999995	0.02892866666666667	0.03276733333333333	0.028922666666666666
minE	579.6313667297363	650.4580116271973	678.8352012634277	943.471321105957	888.4862594604492	873.0269622802734	777.1302337646484	822.1310348510741	808.552505493164	873.1412658691406	868.9428176879883	1005.426025390625	998.5233154296876
maxE	580.9098243713379	651.6228294372559	680.5417823791504	945.3538513183593	891.0354080200196	875.8840484619141	780.1083068847655	824.857177734375	813.1564178466797	876.8932113647461	874.0303573608398	1011.6154541015624	1005.1189208984375
avrgE	580.2647666931152	650.901262919108	679.5987345377604	944.388353729248	889.8198028564453	874.3387886047364	778.4785018920899	823.7223823547363	810.464705657959	875.0825996398926	870.5149864196777	1007.2420719401041	1000.1316837565105
