	24	48	72
intensity	15948.0	22051.0	27695.0
runtime	0.20262	0.16208	0.18926
timestamp	(4937.4, 5140.02)	(8115.6, 8277.68)	(10808.46, 10997.72)
energy	10.664	11.794	17.297
