	24	48	72
intensity	13989.0	23348.0	31420.0
runtime	0.2027	0.12186	0.09498
timestamp	(5735.34, 5938.04)	(8792.12, 8913.98)	(11485.3, 11580.28)
energy	9.357	9.389	9.848
