	24	48	72
intensity	13689.0	23286.0	31922.0
runtime	0.20258	0.12178	0.0948
timestamp	(5336.42, 5539.0)	(8474.0, 8595.78)	(11194.08, 11288.88)
energy	9.151	9.358	9.986
