	24	48	72
intensity	11434.0	22037.0	32561.0
runtime	0.20258	0.10154	0.06802
timestamp	(6932.28, 7134.86)	(9725.94, 9827.48)	(12331.96, 12399.98)
energy	7.644	7.384	7.309
