	24	48	72
intensity	10687.0	19793.0	26835.0
runtime	0.00664	0.00352	0.0026
timestamp	(2076.44, 2083.08)	(3258.0, 3261.52)	(4435.72, 4438.32)
energy	0.234	0.23	0.23
