unit	8_no_PLL	16	24	48	72
minI	3903.8557259757363	7524.8923294952265	11429.222593916224	22273.778915405273	33013.89657767715
maxI	3935.3031268667555	7644.718159359508	11569.798246343085	22547.750270113032	33568.36404010748
avrgI	3922.693153611482	7597.09818680325	11518.669026747852	22415.654787035397	33315.14612212225
minD	1.417	0.706	0.47	0.235	0.156
maxD	1.419	0.707	0.471	0.236	0.158
avrgD	1.4181800000000002	0.7066199999999999	0.47041999999999995	0.23521999999999998	0.15712
minE	16607.00225830078	15951.187133789062	16115.203857421875	15731.231689453123	15535.35461425781
maxE	16752.585411071777	16213.211059570312	16342.84973144531	15902.481079101562	15818.59302520752
avrgE	16689.257011413574	16104.786186218262	16255.831604003906	15817.78959274292	15703.388786315918
