group	24MHz	48MHz	72MHz
FFT	13295.0	22549.0	28978.0
RSA_enc	12464.0	22098.0	29422.0
RSA_dec	12501.0	22094.0	30260.0
bubble_sort	15264.0	25922.0	33001.0
bubble_sort_no_opt	12969.0	24257.0	35152.0
dijkstra	14037.0	24263.0	31891.0
kalman	13560.0	23233.0	30860.0
mat_mul	11627.0	20180.0	26586.0
pointer_chase	15948.0	22051.0	27695.0
recursif	13105.0	23163.0	31151.0
sine	15337.0	24212.0	31007.0
