group	24MHz	48MHz	72MHz
FFT	0.279	0.274	0.272
RSA_enc	0.672	0.665	0.696
RSA_dec	5.245	5.261	5.428
bubble_sort	12.29	11.868	11.74
bubble_sort_no_opt	44.324	43.203	42.589
dijkstra	36.953	35.847	35.398
kalman	2.291	2.366	2.599
mat_mul	0.234	0.23	0.23
pointer_chase	9.151	9.358	9.986
sine	14.42	14.62	14.933
