group	24MHz	48MHz	72MHz
FFT	0.296	0.299	0.319
RSA_enc	0.672	0.656	0.7
RSA_dec	5.212	5.251	5.549
bubble_sort	13.354	13.8	15.723
bubble_sort_no_opt	47.652	46.376	46.088
dijkstra	42.575	43.107	45.107
kalman	2.213	2.273	2.564
mat_mul	0.254	0.259	0.27
pointer_chase	10.664	11.794	17.297
sine	17.069	18.641	20.366
