group	24MHz	48MHz	72MHz
FFT	0.0069	0.00406	0.00334
RSA_enc	0.01634	0.00918	0.00722
RSA_dec	0.12694	0.07084	0.05558
bubble_sort	0.26498	0.1634	0.14628
bubble_sort_no_opt	1.15382	0.59204	0.40852
dijkstra	0.94462	0.5515	0.43392
kalman	0.04974	0.02972	0.02516
mat_mul	0.00664	0.0039	0.0031
pointer_chase	0.20262	0.16208	0.18926
sine	0.33726	0.2333	0.19904
