group	24MHz	48MHz	72MHz
FFT	0.00722	0.00384	0.00278
RSA_enc	0.01698	0.00946	0.00718
RSA_dec	0.13224	0.07198	0.05372
bubble_sort	0.30432	0.1522	0.10172
bubble_sort_no_opt	1.17336	0.5866	0.39098
dijkstra	0.9448	0.47266	0.31526
kalman	0.05426	0.03134	0.02538
mat_mul	0.00664	0.00352	0.0026
pointer_chase	0.20258	0.12178	0.0948
sine	0.33706	0.18168	0.12996
