group	24MHz	48MHz	72MHz
FFT	0.293	0.292	0.308
RSA_enc	0.666	0.665	0.701
RSA_dec	5.229	5.171	5.56
bubble_sort	13.3	13.908	15.832
bubble_sort_no_opt	47.238	45.318	45.361
dijkstra	42.077	42.742	44.416
kalman	2.211	2.311	2.566
mat_mul	0.255	0.261	0.272
pointer_chase	10.664	11.794	17.297
recursif	6.142	6.334	6.848
sine	17.069	18.641	20.366
