group	24MHz	48MHz	72MHz
FFT	0.106	0.127	0.185
RSA_enc	-0.003	0.002	0.01
RSA_dec	-0.002	0.001	0.016
bubble_sort	0.151	0.212	0.312
bubble_sort_no_opt	0.089	0.062	0.081
dijkstra	0.137	0.177	0.216
kalman	-0.041	-0.02	-0.039
mat_mul	0.11	0.134	0.184
pointer_chase	0.186	0.207	0.421
recursif	0.154	0.205	0.274
sine	0.155	0.216	0.267
