group	24MHz	48MHz	72MHz
FFT	11904.0	21679.0	29685.0
RSA_enc	11980.0	21350.0	29292.0
RSA_dec	11997.0	21781.0	30817.0
bubble_sort	12960.0	25125.0	37359.0
bubble_sort_no_opt	11816.0	23377.0	34377.0
dijkstra	12113.0	23487.0	34846.0
kalman	12850.0	22856.0	30734.0
mat_mul	10456.0	19384.0	26115.0
pointer_chase	13181.0	23404.0	32008.0
recursif	11093.0	21438.0	31586.0
sine	12964.0	24385.0	34820.0
