group	24MHz	48MHz	72MHz
FFT	0.003	0.092	0.205
RSA_enc	-0.043	-0.033	0.006
RSA_dec	-0.044	-0.014	0.034
bubble_sort	-0.0	0.187	0.392
bubble_sort_no_opt	0.0	0.026	0.061
dijkstra	-0.0	0.149	0.282
kalman	-0.099	-0.037	-0.043
mat_mul	0.009	0.097	0.168
pointer_chase	-0.001	0.249	0.498
recursif	0.0	0.141	0.284
sine	0.001	0.221	0.347
