group	24MHz	48MHz	72MHz
FFT	11699.0	21648.0	29612.0
RSA_enc	11997.0	21316.0	29356.0
RSA_dec	12020.0	22149.0	30617.0
bubble_sort	12238.0	23629.0	34975.0
bubble_sort_no_opt	11447.0	22318.0	33009.0
dijkstra	11852.0	22982.0	34025.0
kalman	12794.0	22877.0	31037.0
mat_mul	10687.0	19793.0	26835.0
pointer_chase	13689.0	23286.0	31922.0
sine	12964.0	24385.0	34820.0
