U_gain	E_gain	24c	24f	48c	48f	72c	72f
0.0014681767391300565	0.1836327268506368	0	0.1875	0	0.34375	0.4375	0.03125
0.002956158774617149	0.19021465121848424	0	0.1875	0	0.4375	0.34375	0.03125
0.0014342605820587715	0.16371179959714166	0	0.1875	0	0.4375	0.34375	0.03125
0.00013248282824806582	0.13756553407251793	0	0.03125	0	0.5	0.3125	0.15625
-6.964576907088991e-05	0.16661132399709688	0	0.15625	0	0.4375	0.375	0.03125
0.06178154103556428	0.27882474020865833	0	0.3125	0	0.28125	0.40625	0
-0.0002773310086118386	0.11503205436702571	0	0	0	0.375	0.28125	0.34375
0.0347015330248439	0.18493449810094734	0	0.21875	0.03125	0.34375	0.40625	0
0.011816293205498266	0.20118941830350306	0	0.3125	0	0.40625	0.28125	0
-0.00010224754471920175	0.1767703603711642	0	0.0625	0	0.4375	0.34375	0.15625
4.220158901095112e-05	0.16154272625151875	0	0.1875	0	0.4375	0.34375	0.03125
0.01806344345928782	0.20198910257191166	0	0.21875	0.03125	0.3125	0.4375	0
0.04154764449659372	0.2297477500655114	0	0.25	0.03125	0.375	0.34375	0
0.004371958386909248	0.15521149163986672	0	0.15625	0	0.375	0.375	0.09375
0.002299611168206006	0.2059934524075975	0	0.3125	0	0.34375	0.25	0.09375
0.0015186743550904636	0.18785451309014706	0	0.34375	0	0.34375	0.28125	0.03125
0.0033242703539250185	0.2016542630113993	0	0.25	0	0.4375	0.28125	0.03125
0.00036137506726404713	0.16490850369730178	0	0.21875	0	0.3125	0.40625	0.0625
0.02205489759407991	0.18628572931614387	0	0.125	0	0.53125	0.34375	0
0.014446178034153741	0.20610005033143375	0	0.28125	0	0.4375	0.25	0.03125
0.00045961352601017475	0.16507273992398364	0	0.15625	0	0.375	0.375	0.09375
8.825959580925227e-05	0.18655540233902984	0	0.25	0	0.34375	0.375	0.03125
0.0002745753581900363	0.16428911808737554	0	0.125	0	0.4375	0.40625	0.03125
0.059093371626874246	0.2534328400167207	0	0.25	0	0.34375	0.40625	0
0.15040875969495396	0.2691135868484611	0	0.1875	0	0.40625	0.40625	0
0.002044717703417434	0.19272278230283732	0	0.25	0	0.3125	0.4375	0
