U_gain	E_gain	24c	24f	48c	48f	72c	72f
-0.0011376643827693586	0.17919995749468484	0	0.109375	0	0.59375	0.25	0.046875
-0.000615167932941371	0.1950327458569447	0	0.1875	0	0.484375	0.234375	0.09375
-0.0007627469375335325	0.200644164914431	0	0.203125	0.015625	0.5	0.25	0.03125
-0.0009896977131721657	0.17840519619346143	0	0.15625	0	0.5625	0.203125	0.078125
-0.0007476295472155828	0.14677986705842314	0	0.09375	0	0.5625	0.171875	0.171875
-0.0007270663011777529	0.16715037120050685	0	0.078125	0	0.59375	0.21875	0.109375
-0.001001029193069749	0.21432510829716703	0	0.109375	0	0.5	0.3125	0.078125
-0.0011365455285048647	0.15829609098362746	0	0.109375	0	0.53125	0.234375	0.125
-0.0008493368709323043	0.1585958910462857	0	0.09375	0	0.609375	0.25	0.046875
-0.000835823954976958	0.1481635647551196	0	0.046875	0	0.625	0.203125	0.125
-0.0010810786759256356	0.17002277284630754	0	0.15625	0	0.515625	0.28125	0.046875
-0.000842983537880672	0.17922601870134208	0	0.171875	0	0.46875	0.203125	0.15625
-0.0006541657936315803	0.15368138910761098	0	0.140625	0	0.578125	0.171875	0.109375
-0.0009602658043719138	0.15320840503118563	0	0.109375	0	0.59375	0.265625	0.03125
-0.00014095802911152206	0.18902454811942265	0	0.1875	0	0.59375	0.1875	0.03125
-0.0007548334900307218	0.14856719100371296	0	0	0	0.609375	0.265625	0.125
-0.0005762554856581821	0.16649724917446548	0	0.109375	0	0.578125	0.203125	0.109375
-0.0009059209063167012	0.15677977382568667	0	0.125	0	0.515625	0.25	0.109375
-0.0007310057666952873	0.16002688975598342	0	0.1875	0	0.515625	0.234375	0.0625
-0.0009284446213011129	0.18465604369538258	0	0.140625	0	0.59375	0.234375	0.03125
-0.000796438432842337	0.1548344127332041	0	0.015625	0	0.609375	0.328125	0.046875
-0.0013394729718839268	0.21977430830278533	0	0.28125	0	0.4375	0.171875	0.109375
-0.0007562234028503679	0.2141455028694422	0	0.125	0	0.5625	0.265625	0.046875
-0.0007123365456927387	0.17554991797836964	0	0.15625	0.015625	0.5	0.234375	0.09375
-0.0008726889433132263	0.18254369144848	0	0.1875	0	0.546875	0.1875	0.078125
0.0002947621559397096	0.19387592667367873	0	0.25	0	0.4375	0.265625	0.046875
-0.0005693848185468682	0.1506113398503378	0	0.125	0	0.578125	0.234375	0.0625
-0.0007922988063397551	0.18785412378871222	0	0.15625	0	0.515625	0.28125	0.046875
-0.0011182635744663109	0.10719282187663527	0	0.046875	0	0.4375	0.21875	0.296875
-0.0006102632584497762	0.1575627942133841	0	0.09375	0	0.625	0.203125	0.078125
-0.0011931152399042582	0.1731634808490562	0	0.109375	0	0.640625	0.203125	0.046875
-0.0009807606128891442	0.1375221594122725	0	0.03125	0	0.578125	0.21875	0.171875
-0.0009157356369890278	0.2142387175174399	0	0.203125	0	0.484375	0.265625	0.046875
-0.0004254221301731111	0.15465721241158947	0	0.109375	0	0.515625	0.296875	0.078125
-0.0010759746746845365	0.21377296583898125	0	0.1875	0	0.53125	0.25	0.03125
-0.0003019299561433165	0.20436403085441363	0	0.359375	0	0.296875	0.21875	0.125
-0.0009436616886622454	0.15494214159883363	0	0.09375	0	0.546875	0.265625	0.09375
-0.0006003095580794541	0.2086907006054682	0	0.234375	0.015625	0.46875	0.234375	0.046875
-0.0008197057321563974	0.1692211865418854	0	0.140625	0	0.546875	0.25	0.0625
-0.0011131476129958217	0.1726826819500448	0	0.125	0	0.5625	0.25	0.0625
-0.0008838054781083401	0.15134050369168003	0	0.03125	0	0.609375	0.234375	0.125
-0.0004987790697098477	0.23623561933236406	0	0.3125	0	0.421875	0.234375	0.03125
-0.0009109342054701635	0.16664575851775135	0	0.109375	0	0.59375	0.234375	0.0625
-0.0010161744543512594	0.1633686402971907	0	0.109375	0	0.609375	0.234375	0.046875
-0.0010363505270537241	0.17556015223185154	0	0.15625	0	0.59375	0.21875	0.03125
-0.0007300035056061755	0.15955100347289497	0	0.0625	0	0.609375	0.265625	0.0625
-0.0006195853560654188	0.19565747451541884	0	0.296875	0.015625	0.34375	0.25	0.09375
-0.0006661324631216139	0.18362157872371215	0	0.140625	0	0.625	0.1875	0.046875
-0.0004873111996810325	0.17452935487116072	0	0.171875	0.015625	0.515625	0.21875	0.078125
-0.0008371790758931626	0.1582108496812348	0	0.140625	0	0.609375	0.21875	0.03125
-0.0008456876444282684	0.2010053002867443	0	0.296875	0.015625	0.359375	0.21875	0.109375
2.656773145279814e-05	0.17116507550863017	0	0.125	0	0.546875	0.265625	0.0625
0.000138998784485739	0.15018495839581314	0	0.0625	0.015625	0.59375	0.28125	0.046875
0.00035601919302124396	0.20403253735606056	0	0.25	0	0.375	0.28125	0.09375
-0.0009125245121301826	0.15212137029493877	0	0.0625	0	0.578125	0.203125	0.15625
-0.0006934218794606746	0.1789445774084647	0	0.109375	0	0.5625	0.234375	0.09375
-0.0007905912648721482	0.15399048151246883	0	0.09375	0	0.59375	0.21875	0.09375
-0.000840342209177215	0.1614066972158372	0	0.140625	0	0.53125	0.203125	0.125
-0.0006281511814057438	0.16028066127707047	0	0.015625	0	0.6875	0.21875	0.078125
-0.000788247125722497	0.1663466575091129	0	0.09375	0	0.609375	0.21875	0.078125
-0.00051594216807902	0.19034320761203224	0	0.328125	0	0.40625	0.203125	0.0625
-0.0006301362419379349	0.24714482533357376	0	0.265625	0	0.5	0.21875	0.015625
-0.0009449060847398947	0.14830200591768897	0	0.03125	0	0.640625	0.234375	0.09375
0.0001610920260040578	0.1993293297373245	0	0.203125	0	0.4375	0.296875	0.0625
-0.0007271911320824301	0.20758516748692168	0	0.234375	0	0.484375	0.21875	0.0625
-0.0002975911127505406	0.19792362691725454	0	0.171875	0	0.59375	0.171875	0.0625
-0.0007205387055596407	0.17951113506758634	0	0.171875	0	0.484375	0.21875	0.125
-0.0007017846800214148	0.14431586832267207	0	0.0625	0	0.625	0.234375	0.078125
0.00018642537329551355	0.16023515611101258	0	0.125	0	0.578125	0.21875	0.078125
-0.0005376525789750979	0.17368224306558247	0	0.140625	0	0.53125	0.234375	0.09375
-0.00017180227699002866	0.17354298627427514	0	0.15625	0	0.5625	0.21875	0.0625
-0.0010765559600341462	0.21386694288271896	0	0.234375	0	0.453125	0.21875	0.09375
-0.0007099223402307025	0.1373090235208895	0	0.09375	0	0.546875	0.1875	0.171875
0.00011960679039251766	0.19467783006186362	0	0.21875	0	0.484375	0.25	0.046875
-0.0008884703552366281	0.1258039871708129	0	0.046875	0	0.453125	0.21875	0.28125
-0.0008655545402444829	0.1702534148894146	0	0.09375	0	0.625	0.234375	0.046875
-0.000757855028721167	0.1794159617184706	0	0.125	0	0.53125	0.296875	0.046875
-0.0005613058673375655	0.19465606871638003	0	0.203125	0	0.53125	0.203125	0.0625
-4.3368988837789675e-05	0.19134146598218793	0	0.21875	0	0.375	0.34375	0.0625
-0.0011731332228537442	0.16541802353317808	0	0.203125	0	0.453125	0.25	0.09375
-0.0007356545963656227	0.15083887229065324	0	0.09375	0	0.578125	0.25	0.078125
2.4584368289551064e-05	0.21470168816933177	0	0.28125	0	0.375	0.265625	0.078125
-0.0006228125065897133	0.17181082297069397	0	0.15625	0	0.59375	0.21875	0.03125
-0.0009890746182121709	0.13807534744866512	0	0.09375	0	0.609375	0.21875	0.078125
-0.0007327888279858487	0.1599516021933857	0	0.09375	0	0.609375	0.21875	0.078125
-0.0010270156274087533	0.16657364127192373	0	0.09375	0	0.640625	0.1875	0.078125
-0.0006477316581128238	0.13215401956117095	0	0.046875	0	0.578125	0.203125	0.171875
-0.0005344763670764077	0.14779647702264426	0	0.0625	0	0.65625	0.21875	0.0625
-0.0009752614712715781	0.16399621450442115	0	0.109375	0	0.609375	0.21875	0.0625
-0.0010569802750913842	0.17817858878141293	0	0.078125	0	0.65625	0.21875	0.046875
-0.0006185345897586315	0.17332092990924122	0	0.203125	0	0.46875	0.234375	0.09375
-0.0009853888481939177	0.15236562902921771	0	0.1875	0	0.453125	0.265625	0.09375
-0.0007034048504628537	0.18289829651617914	0	0.171875	0	0.46875	0.28125	0.078125
-9.809824829366516e-06	0.18802281463399279	0	0.15625	0	0.53125	0.25	0.0625
-0.0008243548182048074	0.21274308430859917	0	0.1875	0	0.53125	0.25	0.03125
-0.0010649749534034371	0.17893924780731307	0	0.1875	0	0.46875	0.21875	0.125
-0.000976565798042536	0.16979186460783802	0	0.078125	0	0.65625	0.25	0.015625
-0.00040836528461408956	0.15642636557694933	0	0.09375	0	0.59375	0.21875	0.09375
-0.0007863948839131959	0.16524583109612426	0	0.03125	0.015625	0.625	0.234375	0.09375
0.01591059663495773	0.20296694314138297	0	0.34375	0	0.40625	0.25	0
-0.0010712262998724947	0.12484041193629959	0	0.015625	0	0.46875	0.171875	0.34375
-0.0008420444496029956	0.20398364609629693	0	0.28125	0	0.4375	0.265625	0.015625
-0.0007247317191735739	0.14565096903283206	0	0.0625	0	0.59375	0.1875	0.15625
-0.0008845021860480735	0.143510255245019	0	0.0625	0	0.59375	0.203125	0.140625
-0.0009529843951036878	0.1548979632832683	0	0.09375	0	0.59375	0.1875	0.125
-0.0012130422423980622	0.14751467688588632	0	0.1875	0	0.515625	0.234375	0.0625
-0.0011477831488779676	0.15152156028714395	0	0.09375	0	0.59375	0.21875	0.09375
-0.0011069817798521962	0.13091653859398159	0	0.046875	0	0.515625	0.15625	0.28125
-0.00032155296217634155	0.20349734182290313	0	0.171875	0	0.578125	0.21875	0.03125
-0.0007338874121068371	0.15835433354636844	0	0.09375	0	0.625	0.1875	0.09375
-0.0005470115678963752	0.1702140364657954	0	0.15625	0	0.578125	0.234375	0.03125
-0.0008009614237801235	0.19480147794423694	0	0.15625	0	0.578125	0.25	0.015625
-0.0009556553282760203	0.16804427450645956	0	0.140625	0	0.609375	0.203125	0.046875
-0.0007659708618124964	0.18433301814538366	0	0.109375	0	0.640625	0.203125	0.046875
-0.0010756580599194105	0.09937699030638865	0	0.03125	0	0.484375	0.203125	0.28125
-0.0005054293542134718	0.18397698858073114	0	0.15625	0	0.5	0.265625	0.078125
-0.0005919054183984985	0.15216415126199012	0	0.03125	0	0.640625	0.28125	0.046875
0.0004246123272772369	0.1601183430032097	0	0.125	0.015625	0.546875	0.25	0.0625
-0.0012038688291542963	0.14676112005816627	0	0.09375	0	0.5625	0.203125	0.140625
-0.0012849363553781034	0.17847303031456294	0	0.15625	0	0.515625	0.203125	0.125
