group	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	29.87199783325195	27.740154266357425	42.91703796386718	40.24971771240235	39.52757263183593	34.91944885253906	33.666114807128906	33.337783813476555	33.95013427734375	33.268524169921875	38.5280517578125	37.822900390625
RSA_dec	62.03071594238282	56.611175537109375	88.1598587036133	81.42384338378905	80.04716491699219	70.15917205810545	68.45166778564453	67.07331848144531	66.16246032714844	66.7672119140625	75.64833984375001	76.20180664062501
RSA_enc	8.776626586914062	8.035621643066404	12.478637695312502	11.47480773925781	11.40032958984375	9.98066711425781	9.372482299804688	9.961624145507812	9.098419189453125	9.475318908691408	11.087719726562502	10.864916992187501
bubble_sort	1129.1790199279785	1045.8869171142578	1749.3538055419922	1650.934181213379	1628.39884185791	1453.0723114013672	1379.084426879883	1395.9882431030273	1368.6102218627927	1389.5585632324219	1589.2333740234376	1592.1426513671875
bubble_sort_no_opt	5233.6287117004385	4790.202465057373	7788.733543395996	7201.3421630859375	7063.184417724609	6124.106849670411	5945.771804809569	5870.648941040039	5807.1994400024405	5828.244003295898	6694.073730468751	6672.681933593751
dijkstra	1998.2534408569336	1840.910530090332	2843.4981994628906	2653.0949935913086	2610.5521087646484	2310.028930664062	2230.7690963745117	2203.6837005615234	2183.926483154297	2174.8450469970703	2497.668383789063	2495.8380859375
kalman	233.2046318054199	223.03998947143555	331.5353164672851	309.45531463623047	306.9873733520508	278.51827239990234	277.48274230957026	274.092041015625	280.7957382202149	280.10469818115234	321.3613525390625	320.422021484375
mat_mul	17.541732788085938	16.482601165771484	25.077484130859375	23.47093963623047	23.339973449707028	20.647819519042965	19.824256896972656	20.06753540039062	19.484275817871094	19.268508911132812	22.6775390625	22.1359619140625
pointer_chase	923.6170196533202	905.2429771423341	1313.2647857666013	1229.2868270874023	1210.406593322754	1071.9214324951174	1089.6647415161133	1075.6184692382812	1117.9317626953123	1119.9769821166992	1282.1748779296875	1282.961669921875
recursif	574.5039367675781	531.5191078186035	824.6089782714843	760.6440811157227	748.8654785156249	650.8950805664062	628.7983474731445	626.293327331543	616.9027862548828	622.0273132324219	713.848779296875	709.4939941406251
sine	1533.5848236083982	1458.810691833496	2208.795570373535	2070.9647827148438	2043.735488891602	1821.4127197265623	1810.353744506836	1785.5209579467771	1813.0802078247068	1794.5852279663084	2071.397998046875	2058.6494628906253
