group	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	28.05917739868164	25.777206420898438	40.31153869628906	37.464088439941406	36.83972167968749	32.24546813964844	31.071784973144528	30.988105773925778	30.240554809570316	30.576118469238285	34.969677734375004	34.9458740234375
RSA_dec	57.247982025146484	52.68869400024413	82.28105163574217	75.78707885742186	74.66770935058594	64.37857818603514	62.56535339355469	62.22489166259766	62.151374816894524	60.80847930908203	70.15419921875	70.7970703125
RSA_enc	8.211631774902344	7.618217468261718	11.72303009033203	10.938652038574217	10.78095245361328	9.194686889648438	9.043395996093748	9.314872741699219	8.822296142578125	8.593894958496096	10.251245117187501	9.706884765625
bubble_sort	1129.2499351501467	1046.3430786132812	1626.1144409179685	1514.6314315795898	1490.4579849243164	1314.8525848388672	1283.567527770996	1270.2719879150388	1261.4997253417969	1256.5012435913086	1450.3578369140623	1445.5271728515622
bubble_sort_no_opt	5236.205196380615	4793.96577835083	7487.537773132324	6864.642379760741	6746.179000854492	5814.931640624999	5649.3003845214835	5565.910949707031	5526.865196228027	5508.9383239746085	6345.428271484376	6312.352075195313
dijkstra	1855.7258415222168	1711.9994163513184	2658.127372741699	2457.5313949584956	2419.7145309448238	2106.2303924560547	2050.6875	2025.2222213745117	2009.397880554199	2001.4678115844727	2308.303955078125	2301.5853271484375
kalman	236.72203063964844	218.64618301391602	336.5895309448242	312.76151275634766	313.80800628662104	275.2870788574219	270.9763641357422	267.83683776855463	266.0140686035156	265.2829513549804	304.68937988281255	307.12587890625
mat_mul	16.80145263671875	15.557422637939453	24.14019012451172	22.39441680908203	22.073043823242184	19.500205993652344	19.265373229980465	18.585433959960938	18.40001678466797	18.11860656738281	21.783251953125003	20.637866210937503
pointer_chase	868.8233947753905	850.0875091552734	1243.8183288574219	1156.3696060180664	1138.0481643676758	1002.9094161987305	1019.1185531616211	1007.6416625976562	1048.3461456298828	1042.776168823242	1204.9625488281251	1203.3168945312502
recursif	530.4631614685059	485.32775878906244	760.1667480468749	698.5194625854492	685.8870620727539	590.7173080444335	571.7227020263672	562.5912551879883	559.0097579956055	556.9934463500977	643.82294921875	638.7994628906251
sine	1423.2941055297852	1349.6558380126953	2053.5136642456055	1909.8632583618164	1883.7353439331055	1658.7465591430664	1653.865425109863	1633.476219177246	1649.3554458618164	1644.9526748657227	1899.72568359375	1889.9963134765628
