group	8_no_PLL	16	24	48	72
RSA_dec	4118.605133522653	7887.6077861841595	11952.09503173828	23150.05123105824	33877.704470765355
RSA_enc	4096.220413695797	7834.388114986347	11984.76073838411	23080.85140105217	33874.54904828753
bubble_sort	4220.245734350395	8243.42101306206	12417.620653947875	24268.040715589115	35794.73683048439
dijkstra	4140.28433094854	8118.412522930402	12012.498497962952	22375.74895222982	31846.761067708336
fft	4205.848885833673	8108.160358834761	12107.828465667386	22498.316745755517	31544.52169855378
kalman	4701.701346708744	8929.728860086332	13330.789798851914	24271.171193337414	32971.258750499066
mat_mul	3880.7791446240403	7469.01029827951	11106.905083907277	21047.637245871803	30139.7739137922
pointer_chase	4631.615749021753	8966.939486811463	13494.731841303566	24592.715327574984	36374.43172570431
recursion	3922.693153611482	7597.09818680325	11518.669026747852	22415.654787035397	33315.14612212225
sine	4349.194466564018	8347.893798856972	12480.045926486042	24332.342982720795	35735.88107230928
