unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	2114.0074466265396	2458.891782166922	3671.477035600312	2948.543389513209	4421.1673979237485	5017.496240646654	8619.663327239281	12434.099876829483	16171.720894900236	19615.29830406452	21963.90926837921	21069.533295101588	23581.453072008237
maxI	2119.2984215932843	2463.6391573732003	3680.9687711754623	2954.1153686427397	4433.298597530443	5030.605333016442	8669.87267319037	12547.595747585954	16394.609754735775	19982.059796651203	22390.99144935608	21479.453240241204	24044.68266044076
avrgI	2116.3689102509206	2461.3267785982694	3675.561994112423	2951.453227482073	4426.911778089378	5023.629194118363	8645.242507695928	12486.299446354253	16240.614234485558	19773.12115870379	22126.52555308926	21218.721298525787	23720.752629615316
minD	0.02528	0.02536	0.01564	0.02534	0.01564	0.01356	0.00684	0.0046	0.0035	0.00284	0.0025	0.00284	0.00252
maxD	0.02546	0.0255	0.01578	0.0255	0.01582	0.01372	0.00696	0.0047	0.0036	0.00292	0.0026	0.00292	0.00262
avrgD	0.025353799999999996	0.025412599999999997	0.0157078	0.025408600000000003	0.015705000000000004	0.0136292	0.0068884	0.004654999999999999	0.003538800000000001	0.002886	0.0025718000000000004	0.0028885999999999994	0.0025764
minE	53.521289825439446	62.40667343139648	57.48178482055665	89.72634887695312	83.0779037475586	81.76146697998047	70.9310073852539	68.99693298339844	68.12537384033203	67.44005584716798	66.57847595214844	77.3427001953125	76.76008300781251
maxE	53.87523651123046	62.78493881225586	57.99787521362305	90.33016204833983	84.05115509033203	82.73110198974608	72.00416564941406	70.45179748535156	69.94967651367186	69.21377563476562	69.09580993652344	79.571826171875	79.19863281250001
avrgE	53.657993698120116	62.54871368408203	57.73498096466064	89.9907415008545	83.42955505371094	82.16161582946778	71.46218925476074	69.74819709777832	68.96649215698243	68.47785690307617	68.28509216308593	78.45345922851563	78.22510009765625
