	24	48	72
intensity	12969.0	24257.0	35152.0
runtime	1.10376	0.56614	0.39104
timestamp	(2725.36, 3829.12)	(9216.28, 9782.42)	(13468.52, 13859.56)
energy	47.238	45.318	45.361
