	24	48	72
intensity	11447.0	22318.0	33009.0
runtime	1.17336	0.5866	0.39098
timestamp	(6771.32, 7944.68)	(11610.62, 12197.22)	(15320.16, 15711.14)
energy	44.324	43.203	42.589
