	24	48	72
intensity	11816.0	23377.0	34377.0
runtime	1.10322	0.55124	0.36732
timestamp	(5472.76, 6575.98)	(10864.16, 11415.4)	(14757.6, 15124.92)
energy	43.018	42.525	41.67
