unit	8_no_PLL	16	24	48	72
minI	3883.707011404213	7401.0709436928355	11176.924272017046	21412.98566545759	30199.552837171053
maxI	3921.204549403278	7594.038800495427	11454.829463252316	22392.555519386573	33278.57123480903
avrgI	3901.5083296577604	7543.433890648543	11298.964985291965	21884.271001058914	32039.642668606946
minD	0.163	0.081	0.054	0.027	0.018
maxD	0.164	0.082	0.055	0.028	0.019
avrgD	0.16310000000000002	0.08162999999999998	0.05447000000000001	0.027560000000000008	0.018679999999999995
minE	1899.1327285766602	1808.2122802734375	1817.6422119140625	1742.431640625	1696.9299316406248
maxE	1926.7559051513672	1868.133544921875	1874.9542236328125	1876.007080078125	1811.4166259765623
avrgE	1909.0074920654297	1847.2857570648193	1846.2951564788818	1808.9626121520996	1794.605884552002
