group,FFT,bubble_sort,dijkstra,kalman,mat_mul,pointer_chase,recursion,rsa_dec,rsa_enc,sine
16_no_PLL,41.762563133239745,985.124683380127,84.65778560638428,249.88009357452393,57.349229621887204,742.4396896362305,440.0169874827067,48.2621955871582,53.657993698120116,527.8482818603516
16_RANGE2,48.04085369110108,1121.473789215088,96.69169998168945,279.79309368133545,65.40667724609375,847.9127515157064,511.36289087931317,56.3798002243042,62.54871368408203,602.0174283981323
26_RANGE2,44.60463619232178,1045.6805229187012,89.35822257995605,290.3509759902954,61.70556449890137,833.0875142415365,471.4403330485026,52.017869567871095,57.73498096466064,571.914797782898
16,68.95333374023437,1612.518539428711,138.5425481414795,402.44466842651366,94.46699317932129,1212.6059684753418,733.4346061706543,80.84238121032715,89.9907415008545,867.2711288452149
26,64.3270108795166,1509.8355102539062,128.5076309967041,380.25856887817383,88.25573364257812,1131.235311126709,679.6324653625488,74.85069671630859,83.42955505371094,809.3247734069824
30,63.39915641784668,1485.5375289916992,126.52276313781738,374.2187287902832,86.94650436401368,1114.0102577209473,669.6556777954102,73.68756385803222,82.16161582946778,796.7891269683838
60,55.88521545410156,1315.0936889648438,111.11583595275879,333.4583827972412,77.20494644165039,984.635181427002,582.1027694702149,64.0052140045166,71.46218925476074,704.5421104431152
90,54.602733764648434,1282.587890625,108.3728588104248,353.75163986206053,75.66928550720215,1003.5594879150391,567.096508026123,62.42641250610352,69.74819709777832,701.7449352264405
120,54.01377662658692,1277.5789260864258,107.00094200134278,348.0660623931885,74.87540245056152,991.2437149047852,560.6489181518555,61.65450714111328,68.96649215698243,693.8282341003418
150,53.67316886901855,1267.3397827148438,106.31097450256348,379.011399307251,77.60595222473144,1028.9908111572265,556.4948204040527,61.26758102416992,68.47785690307617,701.6612720489502
170,53.54966514587402,1265.5682373046875,105.97213165283203,376.7628426361084,77.36265930175782,1028.1228858947754,554.6401618957519,61.095890808105466,68.28509216308593,700.4339012145996
150_BOOST,61.724566406249984,1452.233154296875,122.15748242187497,435.97446435546874,89.0441220703125,1184.6017846679688,639.46486328125,70.31952954101561,78.45345922851563,806.9771264648436
170_BOOST,61.49867700195312,1450.3330078125,121.58467431640624,433.7399919433595,88.707556640625,1186.090244954427,636.7340063476563,70.10717724609376,78.22510009765625,804.2859545898436
