group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	77.47817897796631	90.96183013916016	83.50576744079589	130.03109481811524	119.80082679748536	117.77395042419434	101.40674903869629	98.77300094604492	97.28857749938965	96.70076454162597	96.40954696655274	111.05233764648438	110.57283154296879
bubble_sort	1893.4035301208496	2202.333641052246	2027.5016784667969	3149.2947006225586	2911.0263061523438	2861.418342590332	2481.074638366699	2416.3824462890625	2383.11767578125	2363.9525985717773	2355.575180053711	2712.399658203125	2703.82958984375
dijkstra	151.9539367675781	177.5066858291626	162.0218376159668	254.1903497314453	232.74968605041505	228.44489181518554	196.05717018127442	190.2923476409912	187.3993677520752	185.8543938446045	185.0967283630371	213.24554614257818	212.50550952148438
kalman	286.98919887542723	323.88892459869385	330.22893581390383	465.3778662872314	437.6334342956543	430.47830520629884	382.6166484832764	399.7016104888916	392.87006996154787	423.8266799926758	421.28740928649904	487.45822778320303	484.5608330078124
mat_mul	100.74168491363525	117.6102216720581	108.94938049316406	168.75654350280763	155.4013387298584	152.81139930725098	132.17871871948242	128.8333218383789	126.90989753723144	129.2540432739258	128.9239228820801	148.510009765625	147.8105222167969
pointer_chase	1094.8773854573567	1285.1234703063965	1181.7234846750896	1835.419556427002	1688.4442138671875	1659.6636978149413	1426.474949645996	1384.808226776123	1365.7665351867677	1357.050902557373	1352.120652770996	1560.1243717447915	1553.8502734374997
recursion	748.4919687906901	885.9566993713379	809.7781728108724	1265.0692596435547	1161.3443153381347	1140.2639999389648	973.1630393981934	945.4708068847656	931.278352355957	923.0947319030762	919.9416923522949	1061.3685432942707	1056.427450358073
rsa_dec	67.89356536865235	79.38895835876465	73.14221668243408	113.44983489990234	105.02665580749512	103.24344062805176	89.5425560760498	87.36503128051758	86.16851829528808	85.67006423950195	85.3608895111084	98.2958288574219	97.90415722656252
rsa_enc	93.27274913787842	109.5537281036377	100.5964958190918	156.75138954162597	144.42053970336914	141.95400718688964	122.38541084289551	119.20853416442871	117.53094612121582	116.84330223083496	116.38277984619141	134.00815649414062	133.5604658203125
sine	981.0968942642212	1140.2566967010498	1048.0921592712402	1631.1194435119628	1506.3512844085694	1481.570598220825	1282.7499618530273	1246.2576026916504	1230.0655597686768	1217.2589092254639	1213.786231613159	1399.4249267578127	1394.1610864257814
