	24	48	72
intensity	11852.0	22982.0	34025.0
runtime	0.9448	0.47266	0.31526
timestamp	(1882.86, 2827.66)	(4554.48, 5027.14)	(6636.24, 6951.5)
energy	36.953	35.847	35.398
