group	16	26	30	60	90	120	150	170
FFT	-0.005	0.001	0.001	0.011	-0.017	-0.016	-0.002	-0.003
bubble_sort	-0.017	-0.003	-0.002	0.003	-0.041	-0.038	-0.054	-0.049
dijkstra	-0.02	-0.005	-0.003	0.005	-0.005	-0.006	0.0	0.001
kalman	-0.009	0.003	0.005	0.02	-0.003	-0.003	-0.025	-0.025
mat_mul	-0.014	-0.003	-0.002	0.003	-0.001	-0.001	0.009	0.009
pointer_chase	-0.049	-0.049	-0.048	-0.031	-0.043	-0.043	0.023	0.023
recursion	-0.008	0.001	0.001	0.012	-0.013	-0.012	-0.037	-0.037
rsa_dec	0.005	0.015	0.015	0.018	0.026	0.025	0.012	0.012
rsa_enc	-0.003	0.008	0.008	0.012	0.026	0.025	-0.0	0.001
sine	-0.035	-0.03	-0.029	-0.017	-0.017	-0.017	-0.007	-0.007
