group	16	26	30	60	90	120	150	170
FFT	0.001	0.002	0.002	0.0	0.069	0.071	0.093	0.09
bubble_sort	0.003	0.0	0.0	0.0	0.112	0.096	0.176	0.169
dijkstra	0.001	0.001	0.001	-0.004	0.007	0.006	0.037	0.038
kalman	0.0	-0.001	-0.001	0.001	0.125	0.121	0.169	0.169
mat_mul	-0.001	0.001	0.0	0.0	0.071	0.071	0.029	0.022
pointer_chase	0.001	-0.001	0.0	0.001	0.0	0.002	-0.103	-0.105
recursion	0.0	-0.001	-0.001	-0.002	0.018	0.019	0.089	0.089
rsa_dec	-0.001	-0.001	-0.002	0.0	-0.004	0.0	0.0	0.0
rsa_enc	0.0	0.001	0.0	-0.003	-0.011	-0.014	0.074	0.072
sine	-0.0	-0.001	-0.001	0.0	0.088	0.089	0.091	0.09
