nb_tasks	U_gain	E_gain	24c	24f	48c	48f	72c	72f
8	0.14096755324929702	0.21098874899833603	0.0	0.057692307692307696	0.12009001636661211	0.07446808510638298	0.742430441898527	0.005319148936170213
16	0.09544473905508692	0.21050559240252445	0.0	0.13401741293532338	0.029850746268656716	0.23849502487562188	0.5892412935323383	0.008395522388059701
32	0.015548366640708218	0.19221237443443165	0.0	0.202890625	0.00546875	0.38046875	0.36890625	0.042265625
64	-0.00046198034035851217	0.17160048413500575	3.90625e-05	0.140625	0.001171875	0.5405078125	0.2291796875	0.0884765625
128	-0.0019568356806513656	0.14754225126105358	1.953125e-05	0.0816796875	0.00046875	0.59505859375	0.1471875	0.1755859375
