nb_tasks	U_gain	E_gain	16_RANGE2f	26_RANGE2c	26_RANGE2f	16f	26f	30f	60f	90f	120c	120f	150c	150f	170c	170f	150_BOOSTf	170_BOOSTf
8	0.05989632093286927	0.27778361141907865	0.0	0.15049751243781095	0.21393034825870647	0.0	0.0	0.0	0.0	0.0	0.0003109452736318408	0.03575870646766169	0.13090796019900497	0.0009328358208955224	0.46050995024875624	0.007151741293532339	0.0	0.0
16	0.007644775019208891	0.2764622242861518	0.0	0.06607587064676616	0.27922885572139305	0.0	0.0	0.0	0.0	0.0	0.0001554726368159204	0.020833333333333332	0.13152985074626866	0.030628109452736318	0.4107587064676617	0.060478855721393034	0.0001554726368159204	0.0001554726368159204
32	0.0006190105629537445	0.2856205138839067	0.0	0.008395522388059701	0.3056592039800995	0.0	7.77363184079602e-05	7.77363184079602e-05	0.0	0.0004664179104477612	0.0	0.009250621890547263	0.08193407960199005	0.08597636815920398	0.2824937810945274	0.22496890547263682	0.0002332089552238806	0.0004664179104477612
64	-0.0007423701785116193	0.27011637464565813	0.0001943407960199005	0.0002720771144278607	0.259794776119403	0.0001943407960199005	3.88681592039801e-05	0.0002720771144278607	7.77363184079602e-05	0.0006607587064676617	0.0001554726368159204	0.0080068407960199	0.05181125621890547	0.12122978855721393	0.17786069651741293	0.3777207711442786	0.000777363184079602	0.0009328358208955224
128	-0.0019324437286812497	0.26020672792691935	0.0005830223880597014	1.943407960199005e-05	0.2377176616915423	0.0002332089552238806	0.0001943407960199005	0.0004664179104477612	0.00021377487562189055	0.001204912935323383	5.830223880597015e-05	0.010649875621890547	0.032143967661691544	0.1410136815920398	0.11602145522388059	0.45615671641791045	0.0009911380597014926	0.0023320895522388058
