group	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
pointer_chase	0.30306	0.20522	0.30312	0.18662	0.16178	0.08084	0.0593	0.04452	0.0388	0.03434	0.03888	0.0344
sine	0.5048	0.32256	0.50502	0.31094	0.26948	0.13442	0.09348	0.07002	0.05798	0.05124	0.05802	0.05122
