group	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
pointer_chase	0.36386	0.2986	0.36376	0.22424	0.19396	0.09694	0.08628	0.0647	0.05828	0.05158	0.05828	0.05144
sine	0.54336	0.38184	0.54398	0.33454	0.2899	0.14488	0.11034	0.08286	0.07454	0.06572	0.07458	0.06586
