group	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.01068	0.00748	0.01074	0.00664	0.00576	0.00296	0.00226	0.00174	0.00164	0.00148	0.00164	0.00146
RSA_dec	0.0231	0.01646	0.02314	0.0143	0.0124	0.00626	0.00482	0.00364	0.00336	0.00298	0.00334	0.003
RSA_enc	0.0033	0.00244	0.00326	0.00208	0.00182	0.00096	0.0008	0.00068	0.0006	0.00058	0.00062	0.00058
bubble_sort	0.39508	0.24374	0.39568	0.24328	0.21104	0.10524	0.08652	0.06488	0.06	0.05298	0.06	0.05294
bubble_sort_no_opt	2.12782	1.30816	2.12856	1.3091	1.13432	0.56698	0.39384	0.29494	0.24096	0.21264	0.2408	0.21278
dijkstra	0.72036	0.52918	0.72044	0.44298	0.38364	0.19182	0.15272	0.11452	0.10908	0.09618	0.10878	0.09602
kalman	0.07492	0.05408	0.07502	0.04622	0.0412	0.0206	0.0161	0.01214	0.01142	0.01014	0.01146	0.01012
mat_mul	0.00598	0.00492	0.00602	0.00376	0.00328	0.0017	0.0015	0.00118	0.00128	0.0012	0.00134	0.00116
recursif	0.22056	0.1564	0.22058	0.13582	0.1179	0.05888	0.04544	0.03396	0.034	0.03	0.03402	0.03008
