group	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
pointer_chase	0.36374	0.2239	0.36386	0.22392	0.19398	0.09702	0.0646	0.04852	0.03898	0.0343	0.03888	0.03432
sine	0.54392	0.3345	0.5438	0.33466	0.29024	0.1448	0.09672	0.07256	0.05818	0.05126	0.05806	0.05134
