	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	3405.0187896549287	4571.3941021078435	4150.556901460392	6326.648178991947	7138.587433157615	12501.109225078693	15817.356701963436	20619.92343607216	23450.26353612255	26370.16890787279	25312.2972152204	28406.934775853817
runtime	0.07492	0.05408	0.07502	0.04622	0.0412	0.0206	0.0161	0.01214	0.01142	0.01014	0.01146	0.01012
timestamp	(1575.76, 1650.68)	(2855.3, 2909.38)	(4175.8, 4250.82)	(5419.6, 5465.82)	(6582.84, 6624.04)	(7648.32, 7668.92)	(8653.68, 8669.78)	(9629.56, 9641.7)	(10593.58, 10605.0)	(11549.58, 11559.72)	(12508.32, 12519.78)	(13464.08, 13474.2)
energy	255.10400772094727	247.2209930419922	373.6497344970703	350.9012145996093	352.9317626953125	309.0274200439453	305.5913314819336	300.3910446166992	321.36241149902344	320.8722152709961	371.30102539062494	367.9720703125
