	24	48	72
intensity	12238.0	23629.0	34975.0
runtime	0.30432	0.1522	0.10172
timestamp	(3143.86, 3448.18)	(5862.84, 6015.04)	(8351.32, 8453.04)
energy	12.29	11.868	11.74
