	24	48	72
intensity	15272.0	25593.0	32572.0
runtime	0.26498	0.1634	0.14628
timestamp	(2125.02, 2390.0)	(5077.6, 5241.0)	(7627.1, 7773.38)
energy	13.354	13.8	15.723
