group	16	30	60	150
FFT	-0.005	0.002	0.01	0.091
bubble_sort	-0.016	-0.003	0.004	0.133
dijkstra	-0.02	-0.003	0.004	0.038
kalman	-0.009	0.004	0.02	0.149
mat_mul	-0.014	-0.003	0.001	0.036
pointer_chase	-0.049	-0.048	-0.031	-0.079
recursion	-0.009	0.0	0.012	0.056
rsa_dec	0.005	0.015	0.019	0.015
rsa_enc	-0.003	0.008	0.011	0.07
sine	-0.035	-0.029	-0.016	0.085
