	24	48	72
intensity	12794.0	22877.0	31037.0
runtime	0.05426	0.03134	0.02538
timestamp	(2568.12, 2622.38)	(4274.86, 4306.2)	(5944.6, 5969.98)
energy	2.291	2.366	2.599
