	24	48	72
intensity	12850.0	22856.0	30734.0
runtime	0.05428	0.03126	0.02628
timestamp	(2073.58, 2127.86)	(3823.26, 3854.52)	(5502.52, 5528.8)
energy	2.302	2.358	2.665
