group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	-0.0	-0.0	-0.001	-0.0	0.0	0.001	-0.0	-0.002	-0.003	-0.012	-0.012	-0.013	-0.012
bubble_sort	0.001	0.0	-0.003	0.0	-0.001	-0.001	-0.003	0.004	-0.004	-0.002	0.0	0.0	-0.005
dijkstra	-0.006	-0.006	-0.006	-0.006	-0.006	-0.006	-0.006	-0.006	-0.007	-0.01	-0.011	-0.012	-0.012
kalman	-0.15	-0.143	-0.327	-0.143	-0.142	-0.142	-0.142	-0.327	-0.325	-0.491	-0.491	-0.491	-0.49
mat_mul	-0.002	-0.002	-0.039	-0.003	-0.002	-0.002	-0.005	-0.04	-0.043	-0.143	-0.145	-0.145	-0.146
pointer_chase	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.001	-0.0	-0.0	-0.001	-0.001	-0.001	-0.001
recursion	-0.0	0.0	0.001	0.0	-0.0	-0.0	0.0	-0.0	-0.001	-0.001	-0.001	-0.001	-0.001
rsa_dec	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.001	-0.001	-0.009	-0.009	-0.009	-0.011
rsa_enc	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.002	-0.003	-0.007	-0.008	-0.008	-0.009
sine	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.001	-0.001	-0.001	-0.002	-0.002	-0.002	-0.002
