group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.078	0.068	0.07	0.065	0.069	0.07	0.077	0.078	0.078	0.078	0.078	0.072	0.075
bubble_sort	0.088	0.077	0.076	0.071	0.074	0.074	0.081	0.081	0.081	0.083	0.083	0.082	0.08
dijkstra	0.083	0.071	0.074	0.068	0.073	0.074	0.081	0.081	0.081	0.082	0.081	0.08	0.08
kalman	-0.177	-0.168	-0.265	-0.172	-0.181	-0.181	-0.177	-0.253	-0.248	-0.33	-0.327	-0.332	-0.331
mat_mul	0.032	0.027	0.012	0.014	0.02	0.02	0.021	0.02	0.022	-0.019	-0.02	-0.024	-0.025
pointer_chase	0.102	0.093	0.078	0.088	0.093	0.095	0.103	0.09	0.092	0.086	0.094	0.086	0.084
recursion	0.091	0.078	0.081	0.074	0.079	0.08	0.091	0.094	0.092	0.095	0.095	0.092	0.093
rsa_dec	0.082	0.07	0.073	0.066	0.07	0.071	0.08	0.079	0.082	0.082	0.081	0.077	0.077
rsa_enc	0.085	0.074	0.077	0.064	0.071	0.073	0.082	0.08	0.08	0.08	0.081	0.078	0.078
sine	0.091	0.079	0.077	0.07	0.077	0.078	0.086	0.086	0.086	0.086	0.086	0.086	0.084
