group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.0	-0.001	0.0	0.001	0.002	0.0	0.0	-0.006	0.0	-0.01	-0.011	-0.01	-0.011
bubble_sort	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.019	0.0	0.0	0.0	0.0
dijkstra	-0.006	-0.006	-0.007	-0.005	-0.006	-0.007	-0.002	-0.006	-0.008	-0.01	-0.006	-0.026	-0.011
kalman	-0.143	-0.142	-0.327	-0.144	-0.141	-0.143	-0.14	-0.328	-0.321	-0.489	-0.468	-0.489	-0.489
mat_mul	-0.001	-0.003	-0.038	-0.003	-0.001	-0.002	0.0	-0.043	-0.043	-0.145	-0.147	-0.145	-0.145
pointer_chase	-0.0	-0.0	-0.001	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.001	-0.001	-0.002	-0.002
recursion	-0.001	-0.0	0.001	0.0	-0.001	0.0	0.001	-0.001	-0.001	0.0	-0.002	-0.004	0.0
rsa_dec	0.0	0.001	0.003	0.001	0.0	-0.002	0.003	-0.005	0.0	-0.015	-0.008	-0.015	-0.008
rsa_enc	0.001	0.002	0.003	0.002	0.0	0.0	0.0	-0.004	-0.006	-0.007	-0.008	-0.007	-0.008
sine	0.0	0.0	0.0	-0.0	-0.001	-0.0	0.0	-0.001	-0.001	0.001	-0.003	-0.002	-0.001
