group	16	26	30	60	90	120	150	170
FFT	-0.082	-0.109	-0.107	-0.118	-0.08	-0.088	-0.049	-0.052
bubble_sort	-0.008	-0.011	-0.011	-0.013	-0.019	-0.015	-0.012	-0.011
dijkstra	-0.025	-0.024	-0.018	-0.027	-0.041	-0.042	-0.015	-0.016
kalman	-0.067	-0.076	-0.066	-0.079	-0.012	-0.008	-0.03	-0.028
mat_mul	-0.057	-0.059	-0.074	-0.098	-0.094	-0.086	-0.093	-0.087
pointer_chase	-0.004	-0.006	-0.006	-0.006	-0.008	-0.009	-0.01	-0.005
recursion	-0.034	-0.037	-0.035	-0.041	-0.039	-0.045	-0.009	-0.005
rsa_dec	-0.017	-0.018	-0.021	-0.024	-0.012	-0.012	-0.011	-0.012
rsa_enc	-0.013	-0.008	-0.008	-0.013	-0.019	-0.02	-0.014	-0.014
sine	-0.011	-0.012	-0.011	-0.016	-0.011	-0.015	-0.005	-0.005
