unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	1957.7995654867418	2302.8706080760576	3430.208107113627	2729.077566013104	4076.168640022206	4621.018303765191	7920.795606161251	11538.13387571749	15168.965980778325	18777.728264431007	21202.89645938087	20212.52668549862	22803.668157539592
maxI	1961.42816153245	2305.9222059027566	3434.1035387790876	2732.31874018712	4079.839767401305	4625.847756899501	7926.406624876423	11548.371205425334	15183.276960417237	18789.0924793368	21218.964739608633	20234.522906270176	22833.14348558828
avrgI	1959.3225948500872	2304.519232498553	3432.212947833212	2730.9537525871497	4077.8338903773156	4623.191947132362	7923.602067273886	11544.258570252561	15174.720624320982	18782.853245303235	21211.638857652444	20224.90860428163	22814.92135186491
minD	0.6058	0.60606	0.37274	0.60624	0.37294	0.32316	0.16162	0.1078	0.08086	0.06474	0.05716	0.06472	0.05714
maxD	0.60648	0.60672	0.37328	0.6072	0.37366	0.324	0.16206	0.10804	0.0811	0.0651	0.0574	0.06496	0.0574
avrgD	0.6061513333333335	0.6063959999999999	0.3729813333333333	0.6065579999999998	0.37327533333333324	0.3235660000000001	0.16178800000000002	0.10793866666666668	0.08096866666666667	0.06484866666666667	0.05724666666666667	0.06486266666666667	0.05726333333333334
minE	1186.2699127197266	1396.2304496765137	1279.0458488464355	1986.008285522461	1824.5394287109375	1792.9057159423826	1536.5324478149416	1493.4369964599612	1472.369087219238	1458.9148406982424	1454.830307006836	1675.2185546874998	1668.814111328125
maxE	1189.0784072875977	1398.7262916564941	1281.1368942260742	1989.5082550048828	1828.3883514404297	1796.6519165039062	1540.9532089233398	1496.5973052978513	1476.9337692260742	1467.1897888183596	1460.7548904418945	1681.8075927734374	1676.3133544921873
avrgE	1187.6460215250652	1397.4512786865234	1280.1513334910076	1987.7781799316406	1826.5857872009278	1795.0891975402833	1538.3324928283691	1495.2862396240234	1474.4122108459474	1461.6515396118164	1457.1547088623047	1679.1570996093749	1672.266751302083
