group	24MHz	48MHz	72MHz
FFT	0.00666	0.00356	0.00256
RSA_enc	0.0169	0.00942	0.00718
RSA_dec	0.13234	0.07188	0.05378
bubble_sort	0.26408	0.13222	0.08836
bubble_sort_no_opt	1.10322	0.55124	0.36732
dijkstra	0.9086	0.45402	0.30288
kalman	0.05428	0.03126	0.02628
mat_mul	0.00658	0.00354	0.00258
pointer_chase	0.20258	0.12178	0.0948
recursif	0.14202	0.07119	0.04769
sine	0.33706	0.18168	0.12996
