group	24MHz	48MHz	72MHz
FFT	0.262	0.255	0.251
RSA_enc	0.668	0.664	0.694
RSA_dec	5.239	5.167	5.469
bubble_sort	11.294	10.963	10.893
bubble_sort_no_opt	43.018	42.525	41.67
dijkstra	36.319	35.19	34.829
kalman	2.302	2.358	2.665
mat_mul	0.227	0.226	0.222
pointer_chase	9.151	9.358	9.986
recursif	5.199	5.036	4.971
sine	14.42	14.62	14.933
