group	24MHz	48MHz	72MHz
FFT	0.00668	0.00392	0.00322
RSA_enc	0.0162	0.00912	0.00722
RSA_dec	0.12676	0.07092	0.05568
bubble_sort	0.26404	0.16258	0.14538
bubble_sort_no_opt	1.10376	0.56614	0.39104
dijkstra	0.90836	0.53382	0.42204
kalman	0.0494	0.03014	0.0252
mat_mul	0.00664	0.00392	0.0031
pointer_chase	0.20262	0.16208	0.18926
recursif	0.14202	0.08287	0.06662
sine	0.33726	0.2333	0.19904
