group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	0.07	0.058	0.063	0.063	0.073	0.072	0.071	0.071	0.072
bubble_sort	0.082	0.066	0.072	0.07	0.078	0.067	0.08	0.08	0.09
dijkstra	0.057	0.046	0.05	0.05	0.057	0.053	0.053	0.054	0.054
kalman	-0.175	-0.174	-0.179	-0.175	-0.168	-0.249	-0.246	-0.326	-0.323
mat_mul	0.041	0.026	0.031	0.032	0.037	0.034	0.039	-0.006	-0.004
recursion	0.091	0.074	0.079	0.08	0.091	0.094	0.092	0.095	0.095
rsa_dec	0.077	0.062	0.065	0.068	0.077	0.075	0.078	0.078	0.077
rsa_enc	0.081	0.061	0.068	0.069	0.079	0.076	0.078	0.077	0.078
sine	0.094	0.08	0.085	0.085	0.088	0.071	0.072	0.054	0.055
