	24	48	72
intensity	13014.0	22325.0	28915.0
runtime	0.0069	0.00406	0.00334
timestamp	(1818.68, 1825.58)	(3003.68, 3007.74)	(4182.68, 4186.02)
energy	0.296	0.299	0.319
