group	16_no_PLL	16_RANGE2	26_RANGE2	
bubble_sort	985.124683380127	1121.473789215088	1045.6805229187012	
dijkstra	84.65778560638428	96.69169998168945	89.35822257995605	
kalman	249.88009357452393	279.79309368133545	290.3509759902954	
mat_mul	57.349229621887204	65.40667724609375	61.70556449890137	
pointer_chase	742.4396896362305	847.9127515157064	833.0875142415365	
recursion	440.0169874827067	511.36289087931317	471.4403330485026
rsa_dec	48.2621955871582	56.3798002243042	52.017869567871095	
rsa_enc	53.657993698120116	62.54871368408203	57.73498096466064	
sine	527.8482818603516	602.0174283981323	571.914797782898	
