group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	2342.0277137958465	2684.6870730854575	4023.0756116869716	3210.8719033983316	4841.743416363043	5495.044725820804	9535.830623449105	13719.626907179058	17754.863211155578	21405.419257611968	23843.6966896121	23031.555153231497	25632.967864313057
bubble_sort	2485.80635423512	2827.007769992375	4268.083767015107	3386.5056219766534	5146.004762008223	5850.424419455267	10348.5461815134	15203.837772730132	20013.138333206658	24850.73423332814	28124.61473185511	26697.061016974134	30057.049747212004
dijkstra	2414.7922175087383	2753.478701789508	4120.815701220369	3286.9681808428304	4939.97244131322	5608.042223826048	9777.887824490665	14184.201887332301	18513.363835258246	22653.35862753046	25415.981694506692	24359.55281859369	27309.686901775985
kalman	2845.535160032804	3182.4324708547815	4329.912964293164	3813.317170878618	5851.889855407669	6644.159889634337	11815.316579483797	15140.109550614534	19793.044275006327	22527.067387907347	25327.44521290691	24291.46541082882	27332.67836210942
mat_mul	2514.567056918374	2860.5842080709485	4205.841538503607	3440.518974227025	5202.776297766841	5904.800178666315	10350.30496748177	14497.42612971561	18837.243729430975	21875.221290349113	24487.080882209564	23522.876711693774	26305.15418918381
pointer_chase	2450.026593421552	2797.8871827204334	4057.916154669193	3333.3788809597268	5050.788979737697	5739.291702854675	10135.163975182331	14087.180370352009	18535.12812790481	22012.196119606415	24884.380815344808	23745.02368803102	26919.790650047482
recursion	2139.029904323771	2485.263738060734	3722.798686456138	2969.495860966892	4468.702750819624	5079.490761429033	8823.161734312722	12883.170695695677	16951.556949009395	20973.21419562946	23670.21558104392	22593.928415028382	25470.135293847467
rsa_dec	2090.847676749047	2436.317654484381	3636.647861749917	2911.1493256206195	4359.856969194205	4944.227007145996	8495.169732054102	12257.867311773422	15933.481234108429	19354.447006587234	21652.676674296064	20808.214342997104	23269.51047150769
rsa_enc	2116.3689102509206	2461.3267785982694	3675.561994112423	2951.453227482073	4426.911778089378	5023.629194118363	8645.242507695928	12486.299446354253	16240.614234485558	19773.12115870379	22126.52555308926	21218.721298525787	23720.752629615316
sine	2443.2670746910335	2785.7247805618495	4137.624159007699	3343.0437290926616	5067.033464234057	5755.916036220759	10164.08908096305	14618.954220690192	19235.178925326323	23395.261575566983	26409.162304982987	25217.033608875245	28448.802607254165
