group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.01792	0.01796	0.01354	0.01802	0.01118	0.00968	0.00494	0.00404	0.0031	0.003	0.00268	0.00302	0.00268
bubble_sort	0.397	0.397	0.339	0.398	0.245	0.212	0.106	0.098	0.073	0.074	0.065	0.074	0.065
dijkstra	0.03496	0.035	0.02792	0.03512	0.02168	0.01882	0.00946	0.0082	0.00618	0.00592	0.00526	0.00592	0.00528
kalman	0.07616	0.0762	0.06268	0.07646	0.04706	0.04076	0.0205	0.01826	0.0137	0.01382	0.01222	0.01384	0.01226
mat_mul	0.02288	0.02292	0.01888	0.02298	0.0142	0.01234	0.00624	0.0056	0.00424	0.00418	0.00372	0.00418	0.00372
pointer_chase	0.30328	0.3033	0.28022	0.30394	0.18684	0.16194	0.08108	0.08106	0.0609	0.06172	0.05452	0.06168	0.0545
recursion	0.20588	0.20594	0.15686	0.20598	0.1269	0.11002	0.05506	0.04538	0.03416	0.03284	0.02904	0.0329	0.02908
rsa_dec	0.02316	0.02322	0.01654	0.02324	0.01438	0.0125	0.00632	0.0049	0.00372	0.00342	0.00304	0.00342	0.00304
rsa_enc	0.02544	0.0255	0.01852	0.0255	0.01582	0.01372	0.00694	0.0055	0.00416	0.00408	0.00362	0.00406	0.00362
sine	0.21624	0.21638	0.17402	0.21658	0.13332	0.1155	0.05782	0.05034	0.0379	0.03916	0.0346	0.03922	0.03462
